Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	6248.9	4952.6	28	918	0	0	0	NaN	0	423969.1	6428.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	5844.9	5056.8	52	918	0	0	0	NaN	0	587580.1	7089.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	6332.1	5152.3	1121	918	0	0	0	NaN	0	357969.6	7012.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	5807.1	5025.4	139	918	0	0	0	NaN	0	671828.7	6952.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Polygon	8767.6	6202.7	926	909	0	0	0	NaN	0	742820.8	3922.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Polygon	9105.1	6401.9	526	926	0	0	0	NaN	0	149467	2590.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Polygon	8871.4	6298.3	543	926	0	0	0	NaN	0	176096.5	2978.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	Entorhinal area, medial part, dorsal zone	Polygon	8662.7	6182.4	664	926	0	0	0	NaN	0	177779	2930.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	Entorhinal area, medial part, dorsal zone	Polygon	8586	6064.7	727	926	0	0	0	NaN	0	155313.3	2363.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 6	ENTm6	Entorhinal area, medial part, dorsal zone	Polygon	8507.4	5946.8	743	926	0	0	0	NaN	0	84164.9	1604.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	6205.7	2928.7	502	822	0	0	0	NaN	0	829073.9	5372.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Olfactory areas	OLF	Cortical plate	Geometry	2440.3	5799.2	698	695	0	0	0	NaN	0	1456575.5	7394.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postpiriform transition area	TR	Olfactory areas	Polygon	1374.5	5534.1	566	698	0	0	0	NaN	0	862610.6	3893
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Geometry	4012.7	6194	631	698	0	0	0	NaN	0	588513	4447.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cortical amygdalar area, posterior part	COAp	Cortical amygdalar area	Geometry	4012.7	6194	647	631	0	0	0	NaN	0	588513	4447.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cortical amygdalar area, posterior part, lateral zone	COApl	Cortical amygdalar area, posterior part	Polygon	1920.2	5958	655	647	0	0	0	NaN	0	153944.8	1775.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cortical amygdalar area, posterior part, medial zone	COApm	Cortical amygdalar area, posterior part	Geometry	4754	6277.5	663	647	0	0	0	NaN	0	434568	3978.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5425	1881.6	315	695	0	0	0	NaN	0	12010018.4	29297.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	5402.9	3271.7	541	315	0	0	0	NaN	0	1105536.3	8875.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	6350.2	3246.4	97	541	0	0	0	NaN	0	192593.1	4291.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	6139.2	3258.5	1127	541	0	0	0	NaN	0	265707.5	4422
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Geometry	4146.3	3304.9	729	541	0	0	0	NaN	0	155055.2	3043.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Geometry	5778.1	3236.6	234	541	0	0	0	NaN	0	124977.5	3529.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Geometry	3912.6	3300.7	786	541	0	0	0	NaN	0	33575.7	2102
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	4863.2	3291.7	289	541	0	0	0	NaN	0	333627.3	4444
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Visual areas	VIS	Isocortex	Geometry	5888.1	1833.2	669	315	0	0	0	NaN	0	5807070.8	17097.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area	VISpm	Visual areas	Geometry	5207.2	850.85	533	669	0	0	0	NaN	0	575618.9	5279.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 2/3	VISpm2/3	posteromedial visual area	Geometry	5370.9	723.11	41	533	0	0	0	NaN	0	184123.5	2731.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 5	VISpm5	posteromedial visual area	Geometry	5226.4	1039.9	565	533	0	0	0	NaN	0	176371	2733.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 6a	VISpm6a	posteromedial visual area	Geometry	4316.6	1370.2	257	533	0	0	0	NaN	0	48247.1	1541.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 1	VISpm1	posteromedial visual area	Geometry	5300.7	543.07	805	533	0	0	0	NaN	0	119167.2	2428.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 6b	VISpm6b	posteromedial visual area	Polygon	3624.2	1622	469	533	0	0	0	NaN	0	1397.1	168.44
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 4	VISpm4	posteromedial visual area	Geometry	5218.5	866.28	501	533	0	0	0	NaN	0	46313.2	1953.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area	VISli	Visual areas	Geometry	6219.2	2754.1	312782574	669	0	0	0	NaN	0	385678.8	4571.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 2/3	VISli2/3	Laterointermediate area	Geometry	6078.8	2601.1	312782582	312782574	0	0	0	NaN	0	83983.7	1678.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Geometry	5718.2	2462	312782578	312782574	0	0	0	NaN	0	51006	1373.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 5	VISli5	Laterointermediate area	Geometry	6330.2	2828.8	312782590	312782574	0	0	0	NaN	0	117981.5	2017.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 4	VISli4	Laterointermediate area	Geometry	6111.3	2688.1	312782586	312782574	0	0	0	NaN	0	43946.9	1313.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 6b	VISli6b	Laterointermediate area	Geometry	6355.1	3034.7	312782598	312782574	0	0	0	NaN	0	16913.8	992.06
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 6a	VISli6a	Laterointermediate area	Geometry	6590.9	2991.8	312782594	312782574	0	0	0	NaN	0	71846.9	1525.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	9830.1	3516.6	312782628	669	0	0	0	NaN	0	161120.8	2386.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	10099.2	3257.8	312782636	312782628	0	0	0	NaN	0	4927.2	467.89
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 5	VISpor5	Postrhinal area	Geometry	9895.8	3455.5	312782644	312782628	0	0	0	NaN	0	66671.7	1267.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 4	VISpor4	Postrhinal area	Geometry	10040.4	3313.3	312782640	312782628	0	0	0	NaN	0	11123.6	527.12
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 6b	VISpor6b	Postrhinal area	Geometry	9668.5	3669.2	312782652	312782628	0	0	0	NaN	0	16370.6	974.79
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 6a	VISpor6a	Postrhinal area	Geometry	9743.1	3599.2	312782648	312782628	0	0	0	NaN	0	62027.7	1185.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area	VISp	Visual areas	Geometry	5812.7	1677.5	385	669	0	0	0	NaN	0	3814103.4	12035.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 6a	VISp6a	Primary visual area	Geometry	6030.7	2013.3	33	385	0	0	0	NaN	0	645759.3	8107.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	5688.7	1352.7	593	385	0	0	0	NaN	0	533811.3	9334.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Geometry	5692.4	1704.4	721	385	0	0	0	NaN	0	541793.3	8661.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 5	VISp5	Primary visual area	Geometry	5832.8	1794.7	778	385	0	0	0	NaN	0	918992.4	9008.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 6b	VISp6b	Primary visual area	Geometry	5752.1	2151.2	305	385	0	0	0	NaN	0	107630.3	6611.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	5792.6	1474.3	821	385	0	0	0	NaN	0	1066116.8	9477.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area	VISl	Visual areas	Geometry	5792.4	2445	409	669	0	0	0	NaN	0	870549	5778.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area, layer 4	VISl4	Lateral visual area	Geometry	5797.9	2398.8	573	409	0	0	0	NaN	0	126097.2	2475.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area, layer 6a	VISl6a	Lateral visual area	Geometry	6178.1	2714.7	74	409	0	0	0	NaN	0	162885.6	2508.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area, layer 5	VISl5	Lateral visual area	Geometry	5714.6	2525.9	613	409	0	0	0	NaN	0	229943.3	2941
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area, layer 6b	VISl6b	Lateral visual area	Geometry	6063.5	2781.5	121	409	0	0	0	NaN	0	32210.8	1852.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area, layer 1	VISl1	Lateral visual area	Geometry	5531.2	2154.9	421	409	0	0	0	NaN	0	118940.3	2543.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Lateral visual area, layer 2/3	VISl2/3	Lateral visual area	Geometry	5676.2	2280.1	973	409	0	0	0	NaN	0	200471.8	2834.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Auditory areas	AUD	Isocortex	Geometry	915.41	2657.2	247	315	0	0	0	NaN	0	723990	3774.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area	AUDpo	Auditory areas	Geometry	1104.1	2476.2	1027	247	0	0	0	NaN	0	249007.2	2711
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area, layer 2/3	AUDpo2/3	Posterior auditory area	Geometry	966.2	2326.3	643	1027	0	0	0	NaN	0	55128.9	1005.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area, layer 1	AUDpo1	Posterior auditory area	Polygon	855.04	2195.8	696	1027	0	0	0	NaN	0	44056.1	917.76
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area, layer 4	AUDpo4	Posterior auditory area	Polygon	1070.5	2450.1	759	1027	0	0	0	NaN	0	33600.1	782.19
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area, layer 6a	AUDpo6a	Posterior auditory area	Geometry	1381.6	2758.3	249	1027	0	0	0	NaN	0	32388	790.46
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area, layer 5	AUDpo5	Posterior auditory area	Geometry	1210.8	2604.5	791	1027	0	0	0	NaN	0	76598.9	1191.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Posterior auditory area, layer 6b	AUDpo6b	Posterior auditory area	Geometry	1459.8	2822.6	456	1027	0	0	0	NaN	0	7235.1	530.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary auditory area	AUDp	Auditory areas	Geometry	789.86	2481.2	1002	247	0	0	0	NaN	0	87405.1	1735.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary auditory area, layer 1	AUDp1	Primary auditory area	Geometry	672.39	2397.1	735	1002	0	0	0	NaN	0	34667.8	815.16
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary auditory area, layer 2/3	AUDp2/3	Primary auditory area	Polygon	800.36	2487.9	251	1002	0	0	0	NaN	0	30878.6	722.78
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary auditory area, layer 4	AUDp4	Primary auditory area	Geometry	917.3	2574.7	816	1002	0	0	0	NaN	0	12923.7	514.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Primary auditory area, layer 5	AUDp5	Primary auditory area	Geometry	1026.4	2647.9	847	1002	0	0	0	NaN	0	8945.8	559.36
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area	AUDv	Auditory areas	Geometry	822.47	2813.3	1018	247	0	0	0	NaN	0	387567.3	3062
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area, layer 6a	AUDv6a	Ventral auditory area	Geometry	1180.5	2959.9	520	1018	0	0	0	NaN	0	59265.5	1064.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area, layer 6b	AUDv6b	Ventral auditory area	Polygon	1278.9	3003.2	598	1018	0	0	0	NaN	0	12803.3	762.19
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area, layer 2/3	AUDv2/3	Ventral auditory area	Polygon	593.3	2725.2	755	1018	0	0	0	NaN	0	69246.6	1236
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area, layer 1	AUDv1	Ventral auditory area	Geometry	453.35	2676.4	959	1018	0	0	0	NaN	0	62348.8	1228.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area, layer 4	AUDv4	Ventral auditory area	Geometry	722.77	2768.7	990	1018	0	0	0	NaN	0	44927.7	1144
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ventral auditory area, layer 5	AUDv5	Ventral auditory area	Geometry	939.81	2852.7	1023	1018	0	0	0	NaN	0	138975.1	1682
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area	RSP	Isocortex	Geometry	5926.2	902.11	254	315	0	0	0	NaN	0	3553538.8	12003
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, dorsal part	RSPd	Retrosplenial area	Geometry	6185.2	611.86	879	254	0	0	0	NaN	0	1026191.6	10155.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, dorsal part, layer 5	RSPd5	Retrosplenial area, dorsal part	Geometry	6263.8	556.27	610	879	0	0	0	NaN	0	376311.7	4358.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, dorsal part, layer 6a	RSPd6a	Retrosplenial area, dorsal part	Geometry	5990.7	1121.1	274	879	0	0	0	NaN	0	269895.1	5030
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, dorsal part, layer 6b	RSPd6b	Retrosplenial area, dorsal part	Geometry	6369.2	1649.3	330	879	0	0	0	NaN	0	7008	509.85
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, dorsal part, layer 2/3	RSPd2/3	Retrosplenial area, dorsal part	Geometry	6277.3	320.94	434	879	0	0	0	NaN	0	209540	3633.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, dorsal part, layer 1	RSPd1	Retrosplenial area, dorsal part	Geometry	6199.1	227.47	442	879	0	0	0	NaN	0	163436.8	4030.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, ventral part	RSPv	Retrosplenial area	Geometry	5789.7	1169.5	886	254	0	0	0	NaN	0	1737869.4	10361.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, ventral part, layer 1	RSPv1	Retrosplenial area, ventral part	Geometry	5891.4	1106.7	542	886	0	0	0	NaN	0	485948.6	8977.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, ventral part, layer 6a	RSPv6a	Retrosplenial area, ventral part	Geometry	5572.1	1441.7	590	886	0	0	0	NaN	0	231401.1	5445.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, ventral part, layer 5	RSPv5	Retrosplenial area, ventral part	Geometry	5764.8	1171	687	886	0	0	0	NaN	0	625150.7	8231.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, ventral part, layer 2/3	RSPv2/3	Retrosplenial area, ventral part	Geometry	5831.5	1084.8	430	886	0	0	0	NaN	0	395369	8580.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, lateral agranular part	RSPagl	Retrosplenial area	Geometry	5890.1	690.81	894	254	0	0	0	NaN	0	789431.1	7630.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, lateral agranular part, layer 1	RSPagl1	Retrosplenial area, lateral agranular part	Geometry	5987.4	305.84	671	894	0	0	0	NaN	0	118466	2831.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, lateral agranular part, layer 5	RSPagl5	Retrosplenial area, lateral agranular part	Geometry	5925.2	721.45	774	894	0	0	0	NaN	0	328890.3	4111.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, lateral agranular part, layer 6b	RSPagl6b	Retrosplenial area, lateral agranular part	Geometry	5559.7	1642.6	279	894	0	0	0	NaN	0	3396.2	393.2
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, lateral agranular part, layer 6a	RSPagl6a	Retrosplenial area, lateral agranular part	Geometry	5559.9	1179.7	906	894	0	0	0	NaN	0	154624.7	4158.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrosplenial area, lateral agranular part, layer 2/3	RSPagl2/3	Retrosplenial area, lateral agranular part	Geometry	6048.4	455.59	965	894	0	0	0	NaN	0	184053.9	3253.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	3951.5	3777.9	895	315	0	0	0	NaN	0	453995.1	4846.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 6b	ECT6b	Ectorhinal area	Geometry	5135.2	3890.7	1045	895	0	0	0	NaN	0	19885.4	1427.9
